ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
PVD,3,2016,1189,-0.677,-0.33,-972,218,-220.0,-3.0,,,-46,40,33,10,-0.982,-0.499,,,,,,225.0
PVD,2,2016,1775,-0.54,0.125,-1484,290,-210.0,80.0,-0.89,-0.274,-50,64,34,20,-0.963,-0.647,,,,,,289.0
PVD,1,2016,1577,-0.641,-0.324,-1334,244,-133.0,111.0,-0.835,-0.237,-47,103,82,56,-0.884,-0.266,,,,,,262.0
PVD,4,2015,2334,-0.56,-0.366,-1935,399,-254.0,145.0,-0.748,-0.742,-51,92,69,77,-0.829,-0.863,,,,,,536.0
PVD,3,2015,3679,-0.334,-0.046,-2858,822,-259.0,562.0,-0.258,-0.232,-52,652,580,559,-0.054,0.056,,,,,,914.0
PVD,2,2015,3858,-0.313,-0.122,-2827,1031,-298.0,733.0,-0.088,0.092,-56,715,572,529,-0.276,0.098,,,,,,1096.0
PVD,1,2015,4395,0.017,-0.171,-3506,889,-218.0,671.0,-0.15,0.167,-26,629,503,482,-0.192,0.074,,,,,,961.0
PVD,4,2014,5300,0.197,-0.04,-4398,902,-327.0,575.0,0.132,-0.242,-31,589,480,449,-0.065,-0.241,,,,,,842.0
PVD,3,2014,5521,0.428,-0.017,-4445,1076,-318.0,758.0,0.071,-0.056,-3,845,625,591,0.137,-0.191,,,,,,1028.0
PVD,2,2014,5615,0.676,0.299,-4499,1116,-313.0,803.0,0.299,0.018,-38,915,761,731,0.619,0.224,,,,,,1068.0
PVD,1,2014,4322,0.36,-0.024,-3317,1005,-216.0,790.0,0.322,0.554,-41,775,624,597,0.418,0.244,,,,,,1055.0
PVD,4,2013,4429,0.253,0.146,-3551,878,-370.0,508.0,0.313,-0.283,-47,581,509,480,1.242,-0.078,,,,,,767.0
PVD,3,2013,3866,0.161,0.154,-2946,920,-212.0,708.0,0.448,0.145,-55,640,540,520,0.058,0.152,,,,,,1031.0
PVD,2,2013,3351,0.272,0.054,-2533,818,-199.0,619.0,0.593,0.036,-60,560,487,451,0.586,0.072,,,,,,873.0
PVD,1,2013,3179,0.347,-0.101,-2392,787,-190.0,597.0,0.144,0.544,-62,517,453,421,0.113,0.968,,,,,,862.0
PVD,4,2012,3535,0.309,0.062,-2965,570,-183.0,387.0,0.275,-0.209,-70,320,254,214,0.042,-0.565,,,,,,680.0
PVD,3,2012,3329,0.398,0.264,-2637,692,-203.0,489.0,0.265,0.26,-73,587,523,492,0.561,0.727,,,,,,783.0
PVD,2,2012,2635,0.243,0.116,-2006,629,-241.0,388.0,0.121,-0.257,-88,329,287,285,0.247,-0.248,,,,,,625.0
PVD,1,2012,2360,0.162,-0.126,-1724,636,-114.0,522.0,0.314,0.721,-71,449,380,378,0.284,0.843,,,,,,730.0
PVD,4,2011,2701,0.279,0.134,-2212,488,-185.0,303.0,0.012,-0.216,-62,238,206,205,-0.036,-0.348,,,,,,484.0
PVD,3,2011,2381,0.103,0.124,-1798,583,-196.0,387.0,0.003,0.117,-52,362,317,315,0.079,0.379,,,,,,565.0
PVD,2,2011,2119,0.04,0.043,-1592,527,-180.0,346.0,-0.218,-0.129,-78,261,231,228,-0.294,-0.225,,,,,,531.0
PVD,1,2011,2032,0.679,-0.038,-1553,479,-81.0,398.0,1.159,0.326,-73,335,296,295,2.188,0.384,,,,,,565.0
PVD,4,2010,2112,0.709,-0.022,-1628,484,-184.0,300.0,0.963,-0.223,-74,259,214,213,6.813,-0.271,,,,,,
PVD,3,2010,2159,1.044,0.06,-1690,469,-83.0,386.0,0.407,-0.129,-78,325,293,292,0.443,-0.097,,,,,,827.0
PVD,2,2010,2037,1.515,0.683,-1502,535,-92.0,443.0,0.786,1.407,-81,361,325,323,0.192,2.499,,,,,,734.0
PVD,1,2010,1210,0.216,-0.021,-959,251,-67.0,184.0,-0.404,0.205,-76,114,93,92,-0.679,2.392,,,,,,328.0
PVD,4,2009,1236,0.135,0.17,-970,266,-113.0,153.0,-0.255,-0.443,0,39,28,27,-0.844,-0.865,,,,,,
PVD,3,2009,1056,0.11,0.304,-731,325,-50.0,274.0,0.122,0.105,-8,289,207,202,-0.184,-0.255,,,,,,
PVD,2,2009,810,-0.113,-0.186,-509,301,-53.0,248.0,-0.067,-0.197,-10,307,273,271,0.003,-0.056,,,,,,
PVD,1,2009,995,0.298,-0.086,-638,357,-48.0,309.0,0.268,0.507,-14,320,291,288,0.233,0.643,,,,,,355.0
PVD,4,2008,1089,0.21,0.145,-776,313,-108.0,205.0,0.152,-0.161,-21,167,178,175,0.031,-0.293,,,,,,
PVD,3,2008,951,0.03,0.041,-657,294,-49.0,244.0,0.194,-0.081,-20,254,251,248,0.323,-0.085,,,,,,
PVD,2,2008,914,0.349,0.192,-603,311,-45.0,266.0,0.498,0.091,-19,274,273,271,0.521,0.161,,,,,,
PVD,1,2008,766,2.184,-0.148,-487,279,-36.0,244.0,5.801,0.368,0,236,235,233,5.416,0.374,,,,,,288.0
PVD,4,2007,900,0.642,-0.026,-680,220,-42.0,178.0,1.2,-0.13,0,176,173,170,1.79,-0.094,,,,,,
PVD,3,2007,923,1.043,0.364,-693,230,-26.0,205.0,4.854,0.153,0,189,188,187,5.9,0.052,,,,,,
PVD,2,2007,677,,1.813,-434,243,-66.0,178.0,,3.954,0,178,178,178,,3.896,,,,,,
PVD,1,2007,241,,-0.561,-189,52,-16.0,36.0,,-0.557,0,36,36,36,,-0.402,,,,,,
PVD,4,2006,548,,0.212,-450,97,-16.0,81.0,,1.315,0,84,61,61,,1.241,,,,,,
PVD,3,2006,452,,,-405,47,-12.0,35.0,,,0,38,27,27,,,,,,,,
PVD,2,2006,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
PVD,1,2006,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
PVD,4,2005,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
PVD,3,2005,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
PVD,2,2005,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
PVD,1,2005,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
VNM,3,2022,16079,-0.007,0.077,-9729,6350,-3662.0,2688.0,-0.171,0.128,-50,2860,2323,2298,-0.214,0.103,,,,,,3208.0
